word,lemma,frequency
you,you,28787591
the,the,22761659
to,to,17099834
a,a,14484562
's,be,14291013
it,it,13631703
and,and,10572938
that,that,10203742
't,'t,9628970
of,of,8915110
is,be,7400675
in,in,7337058
what,what,6900164
we,we,6755687
me,i,6444985
this,this,5739788
he,he,5516364
for,for,5174060
my,my,4938948
on,on,4821861
have,have,4764010
your,your,4610945
do,do,4419883
was,be,4401531
'm,be,4386306
no,no,4374975
not,not,4262273
be,be,4210868
are,be,4203821
don,don,4158644
're,be,4059719
know,know,3892394
can,can,3826118
with,with,3806977
but,but,3631462
all,all,3544700
so,so,3434152
just,just,3334392
there,there,3148528
here,here,3138591
they,they,3060204
like,like,2983027
'll,will,2913428
get,get,2883193
she,she,2778359
go,go,2738504
if,if,2630800
right,right,2576821
out,out,2510010
about,about,2487348
up,up,2459855
at,at,2431398
him,he,2431059
now,now,2298830
oh,oh,2298308
one,one,2263956
come,come,2203919
well,well,2159909
her,her,2154982
how,how,2140365
yeah,yeah,2000641
've,have,1991871
will,will,1969807
got,get,1968389
want,want,1950845
think,think,1839473
as,as,1792220
see,see,1781493
did,do,1742764
good,good,1741730
who,who,1734491
why,why,1722797
from,from,1709582
let,let,1705262
his,his,1666361
yes,yes,1634050
when,when,1531731
going,go,1520767
time,time,1453708
an,a,1449181
okay,okay,1428884
back,back,1405024
look,look,1348467
us,we,1346903
would,would,1340070
them,they,1327509
where,where,1322226
were,be,1315964
take,take,1312232
then,then,1275502
had,have,1274537
or,or,1267646
been,be,1265150
our,our,1191941
gonna,gonna,1188190
tell,tell,1176290
really,really,1174710
man,man,1173588
some,some,1166914
say,say,1153915
hey,hey,1149292
could,could,1111837
'd,would,1109205
didn,didn,1100643
by,by,1090424
need,need,1040131
something,something,1038638
has,have,1035310
too,too,1022558
more,more,1010390
way,way,1000182
down,down,978966
make,make,963885
very,very,945653
never,never,930831
only,only,887363
people,person,885915
over,over,880841
because,because,880112
little,little,869522
please,please,842120
love,love,830324
should,should,823711
mean,mean,821275
said,say,818878
sorry,sorry,818019
give,give,811919
off,off,799351
am,be,785830
thank,thank,773577
any,any,767968
two,two,764564
even,even,744544
much,much,738599
