Band,Headword,Inflections
1,be,"am, are, been, is, was, were"
1,the,
2,to,
2,a,an
2,and,
2,I,me
2,in,
2,of,
2,that,those
2,you,ya
3,do,"did, done, doth"
3,for,
3,have,"had, has, hast, hath"
3,he,him
3,it,
3,not,
3,on,
4,with,
4,as,
4,at,
4,but,
4,by,
4,from,
4,get,"got, gotten"
4,go,"gone, went"
4,his,
4,know,"knew, knowingly, known"
4,or,
4,say,said
4,she,her*
4,they,"'em, them"
4,this,these
4,we,us
5,what,
5,about,
5,all,
5,can,"canned, canning"
5,come,came
5,could,
5,good,"best*, better*, goodness"
5,her*,hers
5,if,
5,just,justly
5,like,liking
5,look,
5,make,made
5,more,
5,my,mine*
5,no,
5,now,
5,one,oneness
5,other,otherness
5,out,
5,right,"rightful, rightfully, rightly, rightness"
5,see,"saw*, seeing, seen"
5,so,
5,some,
5,take,"taken, took"
5,their,theirs
5,there,
5,think,"thinking, thought*"
5,time,"timed, timeless"
5,up,
5,want,wanted
5,well,wellness
5,when,
5,which,
5,who,whom
5,will,"willful, willfully"
5,would,
5,year,
5,your,"yer, yours"
6,after,
6,also,
6,any,
6,back,
6,because,
6,before,
6,call,called
6,day,
6,down,downed
6,even,evenly
6,find,found*
6,first,firstly
6,give,"gave, given*, giving"
6,here,
6,how,
6,into,
6,its,
6,life,"lifeless, lifelike"
6,little,"least, lesser"
6,man,"manliness, manly, manned, men"
6,many,
6,may,May
6,mean,"meanness, meant"
6,most,
6,much,
6,need,"needed, needless, needlessly"
6,new,newness
6,oh,
6,okay,OK
6,only,
6,our,ours
6,over,overly
6,people,
6,real,really
6,should,
6,something,
6,still,stillness
6,talk,
6,tell,"telling, tellingly, told"
6,than,
6,then,
6,thing,
6,through,thru
6,too,
6,try,tried
6,two,
6,use,"used, useful, usefully, usefulness, useless"
6,very,
6,way,
6,where,
6,why,
6,work,"works, wrought*"
6,yeah,yep
7,again,
7,against,
7,although,though
7,always,
7,(American),
7,another,
7,anything,
7,around,
7,ask,
7,away,
7,bad,"badly, worse, worst*"
7,become,became
7,begin,"began, begun"
7,believe,
7,between,
7,big,
7,both,
7,bring,brought
7,care,"careful, carefully, careless, carelessly, carelessness, caring"
7,case,
7,change,"changed, changing"
7,child,"childish, childless, childlike, children"
7,city,
7,close,"closed, closely, closeness"
7,company,
7,country,
7,course,
